Date,Stock Price,Stock Open,Stock High,Stock Low,Stock Volume,Change %,M1 SUPPLY,Iinflation rates for All Items (12 Months Avg. Change),Inflation rates for All Items (Year on Change),real exchange rate open,real exchange rate close,Productivity_Model,Productivity,Currency_Devaluation,Currency_Devaluation
2019-02-12,26990.59,26999.69,27025.2,26931.13,246490000,-0.04,10533132.42,11.4,11.98,0.002759,0.002762,130610450.2,334889084.5,3.00E-06,3.00E-06
2019-01-11,26293.3,26355.35,26378,26217.91,252370000,-0.24,10930572.57,11.35,11.85,0.002755,0.002762,134991626.3,349562991.4,7.00E-06,7.00E-06
2019-02-10,27314.87,27630.56,27645.4,27261.25,175550000,-1.14,10617420.14,11.3,11.61,0.00276,0.002762,130594006.5,340432863.3,2.00E-06,2.00E-06
2019-02-09,27565.14,27540.42,27677.37,27463.76,111500000,0.14,11120799.53,11.27,11.24,0.002755,0.002758,136451800.9,358171060.4,3.00E-06,3.00E-06
2019-01-08,27748.46,27718.26,27748.46,27615.46,97360000,0.11,11230396.33,11.27,11.02,0.002778,0.002778,137796963,358706235.1,0,0
2019-01-07,29614.61,29966.87,29966.88,29593.82,107430000,-1.18,11448386.72,11.29,11.08,0.002778,0.002761,140703064.7,365021216.3,-1.70E-05,-1.70E-05
2019-03-06,30928.29,31069.37,31100.03,30867.74,217190000,-0.45,11161250.34,11.3,11.22,0.002778,0.003263,137216829,355551212.8,0.000485,0.000485
2019-02-05,29171.73,29159.74,29195.7,29104.1,217190000,0.04,11384007.19,11.3,11.4,0.002781,0.002783,140023008.4,362256118.2,2.00E-06,2.00E-06
2019-01-04,30527.5,31041.42,31041.42,30527.5,217190000,-1.66,11256202.28,11.31,11.37,0.002778,0.002778,138563850.1,358258945,0,0
2019-01-03,31827.24,31718.7,31935.28,31708.89,217190000,0.34,10943876.42,11.4,11.25,0.00277,0.002766,135704610.4,346566483.6,-4.00E-06,-4.00E-06
2019-01-02,30636.36,30557.2,30740.63,30557.2,217190000,0.26,11030117.47,11.56,11.31,0.002759,0.002762,138537859.8,345836321.5,3.00E-06,3.00E-06
2019-02-01,31070.06,31429.34,31434.04,31065.25,217190000,-1.15,11142014.49,11.8,11.37,0.00274,0.002758,142615218.4,344612597.1,1.80E-05,1.80E-05
2018-03-12,30798.76,30874.17,30895.4,30732.76,217190000,-0.24,11752557.98,12.1,11.44,0.002747,0.002747,153958509.5,353580554.6,0,0
2018-01-11,32006.65,32458.05,32477.99,32006.65,217190000,-1.42,10688208.65,12.41,11.28,0.002751,0.002751,143328878,313070791.6,0,0
2018-02-10,32711.65,32762.34,32815.19,32695.45,184590000,-0.17,11241391.38,12.78,11.26,0.002755,0.002751,154906992.8,319276983.4,-4.00E-06,-4.00E-06
2018-03-09,34837.5,34848.55,34860.32,33849.14,131530000,-0.03,10757685.14,13.16,11.28,0.002761,0.002761,152328821.6,296071451.7,0,0
2018-01-08,36612.83,37017.78,37023.18,36573.19,240020000,-1.09,10448156.83,13.55,11.23,0.002778,0.00277,152021898.1,277567201.2,-8.00E-06,-8.00E-06
2018-02-07,37946.92,38278.55,38322.94,37946.92,244460000,-0.87,10668002.07,13.95,11.14,0.002809,0.002809,159486630.9,272243264.9,0,0
2018-01-06,36816.29,38104.54,38148.45,36677.07,516810000,-3.38,10701110,14.37,11.23,0.002809,0.002809,164476060.7,265106466.4,0,0
2018-02-05,41306.02,41268.01,41396.91,41154.78,276170000,0.09,11226313.09,14.79,11.61,0.002809,0.002809,177263483.7,270219842.7,0,0
2018-03-04,40855.64,41504.51,41615.41,40795.66,364760000,-1.56,10624148.11,15.2,12.48,0.002809,0.002809,172111199.4,248827736.7,0,0
2018-01-03,42843.38,43330.54,43366.21,42628.49,371250000,-1.12,11033976.38,15.6,13.34,0.002813,0.002809,183164740.6,251441940.4,-4.00E-06,-4.00E-06
2018-01-02,44460.18,44378.8,44484.04,44155.38,630520000,0.26,10854779.76,15.93,14.33,0.002813,0.002809,183772156.4,242234227.3,-4.00E-06,-4.00E-06
2018-02-01,38264.79,38243.19,38268.82,37646.88,248480000,0.06,10911059.53,16.22,15.13,0.002813,0.002809,187889196.7,239136761.3,-4.00E-06,-4.00E-06
2017-04-12,37974.58,37944.6,38023.27,37913.99,500190000,0.08,11175573.96,16.5,15.37,0.002813,0.002809,195573326.6,240777644.1,-4.00E-06,-4.00E-06
2017-01-11,36887.2,36680.29,36888.04,36427.31,249350000,0.56,10115050.31,16.76,15.9,0.002789,0.002813,179638982.2,216394151.4,2.40E-05,2.40E-05
2017-03-10,35306.09,35439.98,35475.59,35262.26,634330000,-0.38,10393062.49,16.97,15.91,0.002786,0.002786,186763332.9,219826772.8,0,0
2017-06-09,35609.07,35403.92,35745.7,35348.94,281840000,0.58,10064248.19,17.17,15.98,0.002817,0.002805,182869584,208077056.7,-1.20E-05,-1.20E-05
2017-01-08,36720.62,35847.75,36728.33,35444,433550000,2.43,9890813.1,17.33,16.01,0.003172,0.002732,181378410.6,179928622.1,-0.00044,-0.00044
2017-03-07,32769.83,33117.48,33132.44,32748.6,162340000,-1.05,10320681.74,17.47,16.05,0.002857,0.002857,190622991.7,206778433.3,0,0
2017-01-06,30314.14,29498.31,30314.14,29498.31,434430000,2.77,10190190.92,17.58,16.1,0.003077,0.003077,189333747.3,188380503.7,0,0
2017-02-05,25965.18,25758.51,25977.23,25751.57,191020000,0.77,10257331.42,17.63,16.25,0.00315,0.00316,191092173.4,184701967.6,1.00E-05,1.00E-05
2017-03-04,25273.03,25516.34,25555.73,25251.19,97690000,-0.95,9815679.49,17.59,17.24,0.00315,0.00315,182473481.7,177151149.9,0,0
2017-01-03,25183.1,25329.08,25351.8,25183.1,228020000,-0.58,10234531.59,17.32,17.26,0.003145,0.003156,187494556.3,187888168.7,1.10E-05,1.10E-05
2017-01-02,25903.55,26036.24,26084.25,25800.68,246360000,-0.51,10057954.5,16.96,17.78,0.003154,0.00315,180641585.4,188027828.2,-4.00E-06,-4.00E-06
2017-03-01,26616.89,26874.62,26874.62,26574.27,106430000,-0.96,10983298.53,16.44,18.72,0.003175,0.00317,191549684.1,210420110.9,-5.00E-06,-5.00E-06
2016-01-12,25265.08,25241.63,25267.75,25212.02,773870000,0.09,11271506.82,15.7,18.55,0.003165,0.00316,188235105.1,226834240.3,-5.00E-06,-5.00E-06
2016-01-11,27252.48,27219.69,27277.25,27196.56,186860000,0.12,10432674.72,14.96,18.48,0.003165,0.00312,166512981.6,220338484.9,-4.50E-05,-4.50E-05
2016-04-10,28283.99,28335.4,28346,28217.85,198100000,-0.18,9928176.45,14.21,18.33,0.00317,0.00317,151007563.8,220402312.5,0,0
2016-01-09,28419.92,27599.03,28421.27,27599.03,229230000,2.97,9829688.04,13.45,17.85,0.003166,0.003228,142030186.3,230837594.6,6.20E-05,6.20E-05
2016-01-08,27843,28009.93,28040.45,27802.49,187160000,-0.6,9535573.07,12.74,17.61,0.003131,0.003122,131019953.2,239053057.6,-9.00E-06,-9.00E-06
2016-01-07,29305.4,29597.79,29601.05,29259.39,231460000,-0.99,9583936.03,12.04,17.13,0.003534,0.00354,124973776,225242777.6,6.00E-06,6.00E-06
2016-01-06,26910.23,27663.16,27663.16,26893.58,228930000,-2.75,9518981.39,11.37,16.48,0.005023,0.005021,117750035.3,166673607.3,-2.00E-06,-2.00E-06
2016-03-05,25865.5,25062.41,25930.87,25059.05,200290000,3.2,9705090.34,10.75,15.58,0.005021,0.005023,114034583.4,179804640.8,2.00E-06,2.00E-06
2016-01-04,25507.09,25306.22,25507.09,25284.17,176770000,0.79,9136068.46,10.18,13.72,0.005023,0.005023,102141245.4,178668663.6,0,0
2016-01-03,24838.31,24570.73,24846.12,24436.97,230130000,1.09,9040817.68,9.75,12.77,0.005021,0.005021,97188790.06,184677026.8,0,0
2016-01-02,23826.76,23916.15,24168.39,23784.32,309450000,-0.37,9066713.19,9.39,11.38,0.005023,0.00502,94203432.65,192229974.1,-3.00E-06,-3.00E-06
2016-04-01,28370.32,28642.25,28707.29,28350.59,249770000,-0.95,8250773.31,9.13,9.62,0.005043,0.005021,83582172.44,179198722.5,-2.20E-05,-2.20E-05
